Make,Model,Type,Origin,Invoice,Horsepower,MPG_City,MPG_Highway,Wheelbase,Length
Suzuki, Aerio SX,Wagon,Asia,16291,155,24,29,98,167
Toyota, Sequoia SR5,SUV,Asia,31827,240,14,17,118,204
Toyota, 4Runner SR5 V6,SUV,Asia,24801,245,18,21,110,189
Toyota, Highlander V6,SUV,Asia,24915,230,18,24,107,185
Toyota, Land Cruiser,SUV,Asia,47986,325,13,17,112,193
Toyota, RAV4,SUV,Asia,18553,161,22,27,98,167
Toyota, Corolla CE 4dr,Sedan,Asia,13065,130,32,40,102,178
Toyota, Corolla S 4dr,Sedan,Asia,13650,130,32,40,102,178
Toyota, Corolla LE 4dr,Sedan,Asia,13889,130,32,40,102,178
Toyota, Echo 2dr manual,Sedan,Asia,10144,108,35,43,93,163
Toyota, Echo 2dr auto,Sedan,Asia,10896,108,33,39,93,163
Toyota, Echo 4dr,Sedan,Asia,10642,108,35,43,93,163
Toyota, Camry LE 4dr,Sedan,Asia,17558,157,24,33,107,189
Toyota, Camry LE V6 4dr,Sedan,Asia,20325,210,21,29,107,189
Toyota, Camry Solara SE 2dr,Sedan,Asia,17722,157,24,33,107,193
Toyota, Camry Solara SE V6 2dr,Sedan,Asia,19819,225,20,29,107,193
Toyota, Avalon XL 4dr,Sedan,Asia,23693,210,21,29,107,192
Toyota, Camry XLE V6 4dr,Sedan,Asia,23125,210,21,29,107,189
Toyota, Camry Solara SLE V6 2dr,Sedan,Asia,23908,225,20,29,107,193
Toyota, Avalon XLS 4dr,Sedan,Asia,27271,210,21,29,107,192
Toyota, Sienna CE,Sedan,Asia,21198,230,19,27,119,200
Toyota, Sienna XLE Limited,Sedan,Asia,25690,230,19,27,119,200
Toyota, Celica GT-S 2dr,Sports,Asia,20363,180,24,33,102,171
Toyota, MR2 Spyder convertible 2dr,Sports,Asia,22787,138,26,32,97,153
Toyota, Tacoma,Truck,Asia,11879,142,22,27,103,191
Toyota, Tundra Regular Cab V6,Truck,Asia,14978,190,16,18,128,218
Toyota, Tundra Access Cab V6 SR5,Truck,Asia,23520,190,14,17,128,218
Toyota, Matrix XR,Wagon,Asia,15156,130,29,36,102,171
Volkswagen, Touareg V6,SUV,Europe,32243,220,15,20,112,187
Volkswagen, Golf GLS 4dr,Sedan,Europe,17478,115,24,31,99,165
Volkswagen, GTI 1.8T 2dr hatch,Sedan,Europe,18109,180,24,31,99,168
Volkswagen, Jetta GLS TDI 4dr,Sedan,Europe,19638,100,38,46,99,172
Volkswagen, New Beetle GLS 1.8T 2dr,Sedan,Europe,19638,150,24,31,99,161
Volkswagen, Jetta GLI VR6 4dr,Sedan,Europe,21686,200,21,30,99,172
Volkswagen, New Beetle GLS convertible 2dr,Sedan,Europe,21689,115,24,30,99,161
Volkswagen, Passat GLS 4dr,Sedan,Europe,21898,170,22,31,106,185
Volkswagen, Passat GLX V6 4MOTION 4dr,Sedan,Europe,30583,190,19,26,106,185
Volkswagen, Passat W8 4MOTION 4dr,Sedan,Europe,36052,270,18,25,106,185
Volkswagen, Phaeton 4dr,Sedan,Europe,59912,335,16,22,118,204
Volkswagen, Phaeton W12 4dr,Sedan,Europe,69130,420,12,19,118,204
Volkswagen, Jetta GL,Wagon,Europe,17427,115,24,30,99,174
Volkswagen, Passat GLS 1.8T,Wagon,Europe,22801,170,22,31,106,184
Volkswagen, Passat W8,Wagon,Europe,36956,270,18,25,106,184
Volvo, XC90 T6,SUV,Europe,38851,268,15,20,113,189
Volvo, S40 4dr,Sedan,Europe,23701,170,22,29,101,178
Volvo, S60 2.5 4dr,Sedan,Europe,29916,208,20,27,107,180
Volvo, S60 T5 4dr,Sedan,Europe,32902,247,20,28,107,180
Volvo, S60 R 4dr,Sedan,Europe,35382,300,18,25,107,181
Volvo, S80 2.9 4dr,Sedan,Europe,35542,208,20,28,110,190
Volvo, S80 2.5T 4dr,Sedan,Europe,35688,194,20,27,110,190
Volvo, C70 LPT convertible 2dr,Sedan,Europe,38203,197,21,28,105,186
Volvo, C70 HPT convertible 2dr,Sedan,Europe,40083,242,20,26,105,186
Volvo, S80 T6 4dr,Sedan,Europe,42573,268,19,26,110,190
Volvo, V40,Wagon,Europe,24641,170,22,29,101,180
Volvo, XC70,Wagon,Europe,33112,208,20,27,109,186
