Country,Features,Region,Year,Amount,Unit
Italy,net consumption,Europe,1989,211.8418,billion kWh
Brazil,net consumption,Central & South America,1989,208.72774,billion kWh
India,net consumption,Asia & Oceania,1989,202.681,billion kWh
Mexico,net consumption,North America,1989,101.542,billion kWh
South Korea,net consumption,Asia & Oceania,1989,81.014,billion kWh
Saudi Arabia,net consumption,Middle East,1989,57.133,billion kWh
Iran,net consumption,Middle East,1989,40.241,billion kWh
Russia,net consumption,Eurasia,1989,0.0,billion kWh
Germany,net consumption,Europe,1989,0.0,billion kWh
United States,net consumption,North America,1988,2578.062495,billion kWh
Japan,net consumption,Asia & Oceania,1988,695.604,billion kWh
China,net consumption,Asia & Oceania,1988,466.479,billion kWh
Canada,net consumption,North America,1988,422.242689,billion kWh
France,net consumption,Europe,1988,309.385,billion kWh
United Kingdom,net consumption,Europe,1988,277.391,billion kWh
Brazil,net consumption,Central & South America,1988,200.76276,billion kWh
Italy,net consumption,Europe,1988,186.849,billion kWh
India,net consumption,Asia & Oceania,1988,185.924,billion kWh
Mexico,net consumption,North America,1988,94.987,billion kWh
South Korea,net consumption,Asia & Oceania,1988,73.367,billion kWh
Saudi Arabia,net consumption,Middle East,1988,52.26,billion kWh
Iran,net consumption,Middle East,1988,39.234,billion kWh
Russia,net consumption,Eurasia,1988,0.0,billion kWh
Germany,net consumption,Europe,1988,0.0,billion kWh
United States,net consumption,North America,1987,2457.272219,billion kWh
Japan,net consumption,Asia & Oceania,1987,663.17,billion kWh
China,net consumption,Asia & Oceania,1987,425.192,billion kWh
Canada,net consumption,North America,1987,405.2380648,billion kWh
France,net consumption,Europe,1987,301.429,billion kWh
United Kingdom,net consumption,Europe,1987,268.441,billion kWh
Italy,net consumption,Europe,1987,193.549,billion kWh
Brazil,net consumption,Central & South America,1987,190.47542,billion kWh
India,net consumption,Asia & Oceania,1987,166.86,billion kWh
Mexico,net consumption,North America,1987,91.09,billion kWh
South Korea,net consumption,Asia & Oceania,1987,63.546,billion kWh
Saudi Arabia,net consumption,Middle East,1987,47.388,billion kWh
Iran,net consumption,Middle East,1987,31.105,billion kWh
Russia,net consumption,Eurasia,1987,0.0,billion kWh
Germany,net consumption,Europe,1987,0.0,billion kWh
United States,net consumption,North America,1986,2368.753052,billion kWh
Japan,net consumption,Asia & Oceania,1986,614.442,billion kWh
Canada,net consumption,North America,1986,389.3921382,billion kWh
China,net consumption,Asia & Oceania,1986,385.299,billion kWh
France,net consumption,Europe,1986,292.67,billion kWh
United Kingdom,net consumption,Europe,1986,258.26,billion kWh
Brazil,net consumption,Central & South America,1986,186.48074,billion kWh
Italy,net consumption,Europe,1986,183.551,billion kWh
India,net consumption,Asia & Oceania,1986,154.717,billion kWh
Mexico,net consumption,North America,1986,84.793,billion kWh
South Korea,net consumption,Asia & Oceania,1986,55.935,billion kWh
Saudi Arabia,net consumption,Middle East,1986,46.901,billion kWh
Iran,net consumption,Middle East,1986,30.702,billion kWh
Russia,net consumption,Eurasia,1986,0.0,billion kWh
Germany,net consumption,Europe,1986,0.0,billion kWh
United States,net consumption,North America,1985,2323.973852,billion kWh
Japan,net consumption,Asia & Oceania,1985,609.764,billion kWh
Canada,net consumption,North America,1985,372.3747488,billion kWh
China,net consumption,Asia & Oceania,1985,351.318,billion kWh
France,net consumption,Europe,1985,277.937,billion kWh
United Kingdom,net consumption,Europe,1985,249.959,billion kWh
Italy,net consumption,Europe,1985,178.066,billion kWh
Brazil,net consumption,Central & South America,1985,171.04538,billion kWh
India,net consumption,Asia & Oceania,1985,140.645,billion kWh
Mexico,net consumption,North America,1985,82.01,billion kWh
South Korea,net consumption,Asia & Oceania,1985,50.146,billion kWh
Saudi Arabia,net consumption,Middle East,1985,40.281,billion kWh
Iran,net consumption,Middle East,1985,31.582,billion kWh
Russia,net consumption,Eurasia,1985,0.0,billion kWh
Germany,net consumption,Europe,1985,0.0,billion kWh
United States,net consumption,North America,1984,2285.796394,billion kWh
Japan,net consumption,Asia & Oceania,1984,593.94,billion kWh
Canada,net consumption,North America,1984,356.7081734,billion kWh
China,net consumption,Asia & Oceania,1984,330.13,billion kWh
France,net consumption,Europe,1984,260.163,billion kWh
United Kingdom,net consumption,Europe,1984,238.652,billion kWh
Italy,net consumption,Europe,1984,174.155,billion kWh
Brazil,net consumption,Central & South America,1984,161.9187,billion kWh
India,net consumption,Asia & Oceania,1984,130.42,billion kWh
Mexico,net consumption,North America,1984,77.006,billion kWh
South Korea,net consumption,Asia & Oceania,1984,46.327,billion kWh
Saudi Arabia,net consumption,Middle East,1984,37.907,billion kWh
Iran,net consumption,Middle East,1984,31.261,billion kWh
Russia,net consumption,Eurasia,1984,0.0,billion kWh
Germany,net consumption,Europe,1984,0.0,billion kWh
United States,net consumption,North America,1983,2150.954584,billion kWh
Japan,net consumption,Asia & Oceania,1983,560.357,billion kWh
Canada,net consumption,North America,1983,331.6464341,billion kWh
China,net consumption,Asia & Oceania,1983,307.606,billion kWh
France,net consumption,Europe,1983,247.079,billion kWh
United Kingdom,net consumption,Europe,1983,235.909,billion kWh
Italy,net consumption,Europe,1983,164.854,billion kWh
Brazil,net consumption,Central & South America,1983,145.44532,billion kWh
India,net consumption,Asia & Oceania,1983,117.213,billion kWh
Mexico,net consumption,North America,1983,72.852,billion kWh
South Korea,net consumption,Asia & Oceania,1983,41.587,billion kWh
Saudi Arabia,net consumption,Middle East,1983,31.986,billion kWh
Iran,net consumption,Middle East,1983,28.086,billion kWh
Russia,net consumption,Eurasia,1983,0.0,billion kWh
Germany,net consumption,Europe,1983,0.0,billion kWh
United States,net consumption,North America,1982,2086.441352,billion kWh
Japan,net consumption,Asia & Oceania,1982,528.362,billion kWh
Canada,net consumption,North America,1982,319.1662899,billion kWh
China,net consumption,Asia & Oceania,1982,285.858,billion kWh
France,net consumption,Europe,1982,242.635,billion kWh
United Kingdom,net consumption,Europe,1982,233.385,billion kWh
Italy,net consumption,Europe,1982,165.723,billion kWh
Brazil,net consumption,Central & South America,1982,131.69046,billion kWh
India,net consumption,Asia & Oceania,1982,113.695,billion kWh
Mexico,net consumption,North America,1982,69.956,billion kWh
South Korea,net consumption,Asia & Oceania,1982,36.97,billion kWh
Saudi Arabia,net consumption,Middle East,1982,29.179,billion kWh
Iran,net consumption,Middle East,1982,23.919,billion kWh
Russia,net consumption,Eurasia,1982,0.0,billion kWh
Germany,net consumption,Europe,1982,0.0,billion kWh
United States,net consumption,North America,1981,2147.102862,billion kWh
Japan,net consumption,Asia & Oceania,1981,522.127,billion kWh
Canada,net consumption,North America,1981,319.0600113,billion kWh
China,net consumption,Asia & Oceania,1981,268.754,billion kWh
France,net consumption,Europe,1981,239.299,billion kWh
United Kingdom,net consumption,Europe,1981,238.669,billion kWh
Italy,net consumption,Europe,1981,163.087,billion kWh
Brazil,net consumption,Central & South America,1981,124.1572,billion kWh
India,net consumption,Asia & Oceania,1981,107.442,billion kWh
Mexico,net consumption,North America,1981,64.407,billion kWh
South Korea,net consumption,Asia & Oceania,1981,34.657,billion kWh
Saudi Arabia,net consumption,Middle East,1981,23.18,billion kWh
Iran,net consumption,Middle East,1981,21.156,billion kWh
Russia,net consumption,Eurasia,1981,0.0,billion kWh
Germany,net consumption,Europe,1981,0.0,billion kWh
United States,net consumption,North America,1980,2094.449,billion kWh
Japan,net consumption,Asia & Oceania,1980,521.374,billion kWh
Canada,net consumption,North America,1980,309.4796186,billion kWh
China,net consumption,Asia & Oceania,1980,261.492,billion kWh
United Kingdom,net consumption,Europe,1980,243.387,billion kWh
France,net consumption,Europe,1980,236.442,billion kWh
Italy,net consumption,Europe,1980,164.891,billion kWh
Brazil,net consumption,Central & South America,1980,121.7838,billion kWh
India,net consumption,Asia & Oceania,1980,97.898,billion kWh
Mexico,net consumption,North America,1980,56.71,billion kWh
South Korea,net consumption,Asia & Oceania,1980,32.064,billion kWh
Iran,net consumption,Middle East,1980,19.676,billion kWh
Saudi Arabia,net consumption,Middle East,1980,19.103,billion kWh
Russia,net consumption,Eurasia,1980,0.0,billion kWh
Germany,net consumption,Europe,1980,0.0,billion kWh
